GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Comparator,org.bremersee.comparator.spring,ComparatorSpringUtils,8,94,8,14,4,25,8,7,0,4
Comparator,org.bremersee.comparator,ComparatorChain,3,54,2,10,0,15,2,6,0,2
Comparator,org.bremersee.comparator,ValueComparator,20,161,3,39,7,33,5,21,2,3
Comparator,org.bremersee.comparator,ComparatorBuilder,36,42,5,1,8,7,6,6,3,6
Comparator,org.bremersee.comparator,ValueExtractorException,5,4,0,0,2,2,1,1,1,1
Comparator,org.bremersee.comparator,WellKnownTextParser,24,180,9,17,3,28,9,9,0,5
Comparator,org.bremersee.comparator,ComparatorException,5,4,0,0,2,2,1,1,1,1
Comparator,org.bremersee.comparator,ComparatorBuilder.DefaultComparatorBuilder,0,63,1,3,0,13,1,6,0,5
Comparator,org.bremersee.comparator,ValueExtractor,49,202,13,23,7,39,12,15,0,9
Comparator,org.bremersee.comparator,DelegatingComparator,6,45,0,4,2,10,1,4,1,2
Comparator,org.bremersee.comparator,DefaultValueExtractor,9,144,1,23,1,31,1,15,0,4
Comparator,org.bremersee.comparator.model,ComparatorField,33,108,7,9,3,22,8,10,1,9
Comparator,org.bremersee.comparator.model,ComparatorFields,13,54,3,3,3,16,4,6,1,6
Comparator,org.bremersee.comparator.model,ObjectFactory,11,0,0,0,3,0,3,0,3,0
